location_key,date,new_confirmed,day_of_week,Prediccion
AR,2020-01-01,3.0,Wednesday,
AR,2020-01-02,14.0,Thursday,
AR,2020-01-03,3.0,Friday,
AR,2020-01-04,7.0,Saturday,
AR,2020-01-05,5.0,Sunday,
AR,2020-01-06,9.0,Monday,
AR,2020-01-07,4.0,Tuesday,
AR,2020-01-08,3.0,Wednesday,
AR,2020-01-09,0.0,Thursday,0.0
AR,2020-01-10,1.0,Friday,0.0
AR,2020-01-11,0.0,Saturday,0.0
AR,2020-01-12,1.0,Sunday,0.0
AR,2020-01-13,0.0,Monday,0.0
AR,2020-01-14,0.0,Tuesday,0.0
AR,2020-01-15,2.0,Wednesday,0.0
AR,2020-01-16,0.0,Thursday,0.0
AR,2020-01-17,2.0,Friday,0.0
AR,2020-01-18,1.0,Saturday,0.0
AR,2020-01-19,10.0,Sunday,0.0
AR,2020-01-20,1.0,Monday,0.0
AR,2020-01-21,0.0,Tuesday,0.0
AR,2020-01-22,0.0,Wednesday,0.0
AR,2020-01-23,0.0,Thursday,0.0
AR,2020-01-24,0.0,Friday,0.0
AR,2020-01-25,0.0,Saturday,0.0
AR,2020-01-26,1.0,Sunday,0.0
AR,2020-01-27,0.0,Monday,0.0
AR,2020-01-28,1.0,Tuesday,0.0
AR,2020-01-29,1.0,Wednesday,0.0
AR,2020-01-30,3.0,Thursday,0.0
AR,2020-01-31,1.0,Friday,0.0
AR,2020-02-01,0.0,Saturday,0.0
AR,2020-02-02,2.0,Sunday,0.0
AR,2020-02-03,0.0,Monday,0.0
AR,2020-02-04,1.0,Tuesday,0.0
AR,2020-02-05,0.0,Wednesday,0.0
AR,2020-02-06,0.0,Thursday,0.0
AR,2020-02-07,0.0,Friday,0.0
AR,2020-02-08,0.0,Saturday,0.0
AR,2020-02-09,0.0,Sunday,0.0
AR,2020-02-10,1.0,Monday,0.0
AR,2020-02-11,1.0,Tuesday,0.0
AR,2020-02-12,0.0,Wednesday,0.0
AR,2020-02-13,1.0,Thursday,0.0
AR,2020-02-14,0.0,Friday,0.0
AR,2020-02-15,0.0,Saturday,0.0
AR,2020-02-16,0.0,Sunday,0.0
AR,2020-02-17,0.0,Monday,0.0
AR,2020-02-18,1.0,Tuesday,0.0
AR,2020-02-19,1.0,Wednesday,0.0
AR,2020-02-20,0.0,Thursday,0.0
AR,2020-02-21,0.0,Friday,0.0
AR,2020-02-22,0.0,Saturday,0.0
AR,2020-02-23,0.0,Sunday,0.0
AR,2020-02-24,1.0,Monday,0.0
AR,2020-02-25,0.0,Tuesday,0.0
AR,2020-02-26,0.0,Wednesday,0.0
AR,2020-02-27,0.0,Thursday,0.0
AR,2020-02-28,0.0,Friday,0.0
AR,2020-02-29,0.0,Saturday,0.0
AR,2020-03-01,0.0,Sunday,0.0
AR,2020-03-02,0.0,Monday,0.0
AR,2020-03-03,1.0,Tuesday,0.0
AR,2020-03-04,0.0,Wednesday,0.0
AR,2020-03-05,0.0,Thursday,0.0
AR,2020-03-06,7.0,Friday,0.0
AR,2020-03-07,1.0,Saturday,0.0
AR,2020-03-08,2.0,Sunday,0.0
AR,2020-03-09,6.0,Monday,0.0
AR,2020-03-10,9.0,Tuesday,0.0
AR,2020-03-11,4.0,Wednesday,0.0
AR,2020-03-12,10.0,Thursday,0.0
AR,2020-03-13,6.0,Friday,0.0
AR,2020-03-14,7.0,Saturday,0.0
AR,2020-03-15,11.0,Sunday,0.0
AR,2020-03-16,10.0,Monday,0.0
AR,2020-03-17,18.0,Tuesday,0.0
AR,2020-03-18,29.0,Wednesday,0.0
AR,2020-03-19,22.0,Thursday,0.0
AR,2020-03-20,30.0,Friday,0.0
AR,2020-03-21,62.0,Saturday,0.0
AR,2020-03-22,54.0,Sunday,0.0
AR,2020-03-23,33.0,Monday,0.0
AR,2020-03-24,105.0,Tuesday,0.0
AR,2020-03-25,116.0,Wednesday,0.0
AR,2020-03-26,110.0,Thursday,0.0
AR,2020-03-27,82.0,Friday,0.0
AR,2020-03-28,69.0,Saturday,0.0
AR,2020-03-29,109.0,Sunday,0.0
AR,2020-03-30,84.0,Monday,0.0
AR,2020-03-31,90.0,Tuesday,0.0
AR,2020-04-01,121.0,Wednesday,0.0
AR,2020-04-02,144.0,Thursday,0.0
AR,2020-04-03,107.0,Friday,0.0
AR,2020-04-04,105.0,Saturday,0.0
AR,2020-04-05,72.0,Sunday,0.0
AR,2020-04-06,105.0,Monday,0.0
AR,2020-04-07,76.0,Tuesday,0.0
AR,2020-04-08,102.0,Wednesday,0.0
AR,2020-04-09,100.0,Thursday,0.0
AR,2020-04-10,127.0,Friday,0.0
AR,2020-04-11,72.0,Saturday,0.0
AR,2020-04-12,71.0,Sunday,0.0
AR,2020-04-13,92.0,Monday,0.0
AR,2020-04-14,128.0,Tuesday,0.0
AR,2020-04-15,130.0,Wednesday,0.0
AR,2020-04-16,108.0,Thursday,0.0
AR,2020-04-17,88.0,Friday,0.0
AR,2020-04-18,122.0,Saturday,0.0
AR,2020-04-19,62.0,Sunday,0.0
AR,2020-04-20,98.0,Monday,0.0
AR,2020-04-21,160.0,Tuesday,0.0
AR,2020-04-22,122.0,Wednesday,0.0
AR,2020-04-23,138.0,Thursday,0.0
AR,2020-04-24,191.0,Friday,0.0
AR,2020-04-25,168.0,Saturday,0.0
AR,2020-04-26,93.0,Sunday,0.0
AR,2020-04-27,127.0,Monday,0.0
AR,2020-04-28,126.0,Tuesday,0.0
AR,2020-04-29,149.0,Wednesday,0.0
AR,2020-04-30,142.0,Thursday,0.0
AR,2020-05-01,140.0,Friday,0.0
AR,2020-05-02,101.0,Saturday,0.0
AR,2020-05-03,105.0,Sunday,0.0
AR,2020-05-04,121.0,Monday,0.0
AR,2020-05-05,183.0,Tuesday,0.0
AR,2020-05-06,205.0,Wednesday,0.0
AR,2020-05-07,239.0,Thursday,0.0
AR,2020-05-08,201.0,Friday,0.0
AR,2020-05-09,251.0,Saturday,0.0
AR,2020-05-10,201.0,Sunday,0.0
AR,2020-05-11,286.0,Monday,0.0
AR,2020-05-12,291.0,Tuesday,0.0
AR,2020-05-13,328.0,Wednesday,0.0
AR,2020-05-14,308.0,Thursday,0.0
AR,2020-05-15,396.0,Friday,0.0
AR,2020-05-16,345.0,Saturday,0.0
AR,2020-05-17,243.0,Sunday,0.0
AR,2020-05-18,391.0,Monday,0.0
AR,2020-05-19,532.0,Tuesday,0.0
AR,2020-05-20,616.0,Wednesday,0.0
AR,2020-05-21,752.0,Thursday,0.0
AR,2020-05-22,814.0,Friday,0.0
AR,2020-05-23,618.0,Saturday,0.0
AR,2020-05-24,506.0,Sunday,0.0
AR,2020-05-25,552.0,Monday,0.0
AR,2020-05-26,652.0,Tuesday,0.0
AR,2020-05-27,718.0,Wednesday,0.0
AR,2020-05-28,769.0,Thursday,0.0
AR,2020-05-29,847.0,Friday,0.0
AR,2020-05-30,694.0,Saturday,0.0
AR,2020-05-31,549.0,Sunday,0.0
AR,2020-06-01,848.0,Monday,0.0
AR,2020-06-02,927.0,Tuesday,0.0
AR,2020-06-03,935.0,Wednesday,0.0
AR,2020-06-04,881.0,Thursday,0.0
AR,2020-06-05,970.0,Friday,0.0
AR,2020-06-06,1109.0,Saturday,0.0
AR,2020-06-07,574.0,Sunday,0.0
AR,2020-06-08,1037.0,Monday,0.0
AR,2020-06-09,1360.0,Tuesday,0.0
AR,2020-06-10,1355.0,Wednesday,126.0
AR,2020-06-11,1546.0,Thursday,124.0
AR,2020-06-12,1644.0,Friday,263.0
AR,2020-06-13,1499.0,Saturday,270.0
AR,2020-06-14,1056.0,Sunday,84.0
AR,2020-06-15,1289.0,Monday,126.0
AR,2020-06-16,1668.0,Tuesday,340.0
AR,2020-06-17,1938.0,Wednesday,536.0
AR,2020-06-18,2068.0,Thursday,748.0
AR,2020-06-19,2097.0,Friday,821.0
AR,2020-06-20,2408.0,Saturday,704.0
AR,2020-06-21,1469.0,Sunday,706.0
AR,2020-06-22,2244.0,Monday,466.0
AR,2020-06-23,2642.0,Tuesday,972.0
AR,2020-06-24,2522.0,Wednesday,1280.0
AR,2020-06-25,2959.0,Thursday,1291.0
AR,2020-06-26,3027.0,Friday,1539.0
AR,2020-06-27,2348.0,Saturday,1534.0
AR,2020-06-28,1808.0,Sunday,1019.0
AR,2020-06-29,2278.0,Monday,1143.0
AR,2020-06-30,2831.0,Tuesday,1466.0
AR,2020-07-01,2831.0,Wednesday,1738.0
AR,2020-07-02,2890.0,Thursday,1927.0
AR,2020-07-03,3407.0,Friday,1862.0
AR,2020-07-04,3333.0,Saturday,1730.0
AR,2020-07-05,1973.0,Sunday,1581.0
AR,2020-07-06,2957.0,Monday,1276.0
AR,2020-07-07,3464.0,Tuesday,1883.0
AR,2020-07-08,4154.0,Wednesday,2126.0
AR,2020-07-09,3641.0,Thursday,2539.0
AR,2020-07-10,3606.0,Friday,2519.0
AR,2020-07-11,3331.0,Saturday,2234.0
AR,2020-07-12,2156.0,Sunday,1763.0
AR,2020-07-13,3608.0,Monday,1722.0
AR,2020-07-14,4200.0,Tuesday,2632.0
AR,2020-07-15,4227.0,Wednesday,3087.0
AR,2020-07-16,4571.0,Thursday,2906.0
AR,2020-07-17,5038.0,Friday,2992.0
AR,2020-07-18,4629.0,Saturday,2890.0
AR,2020-07-19,3073.0,Sunday,2522.0
AR,2020-07-20,4826.0,Monday,2511.0
AR,2020-07-21,5742.0,Tuesday,3462.0
AR,2020-07-22,5926.0,Wednesday,3951.0
